school,school_id,division,level,year,region
Mississippi Gulf Coast,mississippigulfcoastcommunitycollege,njcaa-2,NJCAA,2018,23
Monroe CC,monroecommunitycollege,njcaa-2,NJCAA,2018,3
Moraine Valley,morainevalleycommunitycollege,njcaa-2,NJCAA,2018,4
Morris,countycollegeofmorris,njcaa-2,NJCAA,2018,19
Morton,mortoncollege,njcaa-2,NJCAA,2018,4
Mott,mottcommunitycollege,njcaa-2,NJCAA,2018,12
Murray State,murraystatecollege,njcaa-2,NJCAA,2018,2
Muskegon,muskegoncommunitycollege,njcaa-2,NJCAA,2018,12
New River,newrivercommunitycollege,njcaa-2,NJCAA,2018,NA
North Iowa Area,northiowaareacommunitycollege,njcaa-2,NJCAA,2018,11
Northeast,northeastcommunitycollege,njcaa-2,NJCAA,2018,11
Northeast Mississippi,northeastmississippicommunitycollege,njcaa-2,NJCAA,2018,23
Northern Oklahoma Enid,northernoklahomacollegeenid,njcaa-2,NJCAA,2018,2
Northern Oklahoma Tonkawa,northernoklahomacollegetonkawa,njcaa-2,NJCAA,2018,2
Northwest Mississippi,northwestmississippicommunitycollege,njcaa-2,NJCAA,2018,23
Orange County,orangecountycommunitycollege,njcaa-2,NJCAA,2018,15
Owens,owenscommunitycollege,njcaa-2,NJCAA,2018,NA
Paradise Valley,paradisevalleycommunitycollege,njcaa-2,NJCAA,2018,1
Parkland,parklandcollege,njcaa-2,NJCAA,2018,24
Pasco-Hernando State,pascohernandostatecollege,njcaa-2,NJCAA,2018,8
Patrick & Henry,patrickhenrycommunitycollege,njcaa-2,NJCAA,2018,10
Pearl River,pearlrivercommunitycollege,njcaa-2,NJCAA,2018,23
Phoenix,phoenixcollege,njcaa-2,NJCAA,2018,1
Pima,pimacommunitycollege,njcaa-2,NJCAA,2018,NA
Pitt,pittcommunitycollege,njcaa-2,NJCAA,2018,10
Prairie State,prairiestatecollege,njcaa-2,NJCAA,2018,4
Rappahannock Community College,rappahannockcommunitycollege,njcaa-2,NJCAA,2018,NA
Raritan Valley,raritanvalleycommunitycollege,njcaa-2,NJCAA,2018,19
Redlands,redlandscommunitycollege,njcaa-2,NJCAA,2018,2
Rhode Island,communitycollegeofrhodeisland,njcaa-2,NJCAA,2018,NA
Rockland,rocklandcommunitycollege,njcaa-2,NJCAA,2018,15
Rowan Burlington,rowancollegeatburlingtoncounty,njcaa-2,NJCAA,2018,NA
Sauk Valley,saukvalleycommunitycollege,njcaa-2,NJCAA,2018,4
Scottsdale,scottsdalecommunitycollege,njcaa-2,NJCAA,2018,1
Sinclair,sinclaircommunitycollege,njcaa-2,NJCAA,2018,NA
Southeast,southeastcommunitycollege,njcaa-2,NJCAA,2018,NA
Southeastern,southeasterncommunitycollege,njcaa-2,NJCAA,2018,11
Southeastern-Whiteville,southeasterncommunitycollegewhitevill,njcaa-2,NJCAA,2018,10
Southern Maryland,collegeofsouthernmaryland,njcaa-2,NJCAA,2018,20
Southwest Mississippi,southwestmississippicommunitycollege,njcaa-2,NJCAA,2018,23
Spoon River,spoonrivercollege,njcaa-2,NJCAA,2018,24
St. Clair County,stclaircountycommunitycollege,njcaa-2,NJCAA,2018,12
Sullivan County,sullivancountycommunitycollege,njcaa-2,NJCAA,2018,15
Sussex County,sussexcountycommunitycollege,njcaa-2,NJCAA,2018,19
The Albemarle,collegeofthealbemarle,njcaa-2,NJCAA,2018,NA
UConn Avery Point,universityofconnecticutataverypoint,njcaa-2,NJCAA,2018,21
Ulster County,ulstercountycommunitycollege,njcaa-2,NJCAA,2018,15
Utah State Eastern,utahstateeastern,njcaa-2,NJCAA,2018,NA
Valley Forge Military,valleyforgemilitarycollege,njcaa-2,NJCAA,2018,NA
Vincennes,vincennesuniversity,njcaa-2,NJCAA,2018,24
Wake Tech,waketechnicalcommunitycollege,njcaa-2,NJCAA,2018,10
Wentworth Military,wentworthmilitaryacademy,njcaa-2,NJCAA,2018,NA
Westchester,westchestercommunitycollege,njcaa-2,NJCAA,2018,15
Western Oklahoma State,westernoklahomastatecollege,njcaa-2,NJCAA,2018,2
Williston State,willistonstatecollege,njcaa-2,NJCAA,2018,13
ASA Miami,asacollegemiami,njcaa-2,NJCAA,2019,NA
Allegany Maryland,alleganycollegeofmaryland,njcaa-2,NJCAA,2019,20
Anne Arundel,annearundelcommunitycollege,njcaa-2,NJCAA,2019,20
Bay College,baycollege,njcaa-2,NJCAA,2019,NA
Bismarck State,bismarckstatecollege,njcaa-2,NJCAA,2019,13
Black Hawk-Moline,blackhawkcollegemoline,njcaa-2,NJCAA,2019,4
Brunswick,brunswickcommunitycollege,njcaa-2,NJCAA,2019,10
Bryant & Stratton College (WI),bryantstrattoncollegewi,njcaa-2,NJCAA,2019,4
Bryant & Stratton (VA),bryantstrattoncollegeva,njcaa-2,NJCAA,2019,10
CCBC Catonsville,ccbccatonsville,njcaa-2,NJCAA,2019,20
CCBC Dundalk,ccbcdundalk,njcaa-2,NJCAA,2019,20
CCBC Essex,ccbcessex,njcaa-2,NJCAA,2019,20
Camp,pauldcampcommunitycollege,njcaa-2,NJCAA,2019,NA
Carl Albert State,carlalbertstatecollege,njcaa-2,NJCAA,2019,2
Carl Sandburg,carlsandburgcollege,njcaa-2,NJCAA,2019,4
Catawba Valley,catawbavalleycommunitycollege,njcaa-2,NJCAA,2019,10
Cecil,cecilcollege,njcaa-2,NJCAA,2019,20
Chandler-Gilbert,chandlergilbertcommunitycollege,njcaa-2,NJCAA,2019,1
Chesapeake,chesapeakecollege,njcaa-2,NJCAA,2019,20
Clark State,clarkstatecommunitycollege,njcaa-2,NJCAA,2019,12
Coahoma,coahomacommunitycollege,njcaa-2,NJCAA,2019,23
Copiah-Lincoln,copiahlincolncommunitycollege,njcaa-2,NJCAA,2019,23
Cuyahoga,cuyahogacommunitycollege,njcaa-2,NJCAA,2019,12
Dakota,dakotacollegeatbottineau,njcaa-2,NJCAA,2019,13
Dakota County Tech,dakotacountytechnicalcollege,njcaa-2,NJCAA,2019,13
Danville Area,danvilleareacommunitycollege,njcaa-2,NJCAA,2019,24
Dawson,dawsoncommunitycollege,njcaa-2,NJCAA,2019,13
Delaware Tech,delawaretechnicalcommunitycollege,njcaa-2,NJCAA,2019,19
Des Moines Area,desmoinesareacommunitycollege,njcaa-2,NJCAA,2019,11
Dutchess,dutchesscommunitycollege,njcaa-2,NJCAA,2019,15
East Central (MS),eastcentralcommunitycollege,njcaa-2,NJCAA,2019,23
East Mississippi,eastmississippicommunitycollege,njcaa-2,NJCAA,2019,23
Edison State,edisoncommunitycollege,njcaa-2,NJCAA,2019,12
Ellsworth,ellsworthcommunitycollege,njcaa-2,NJCAA,2019,11
Fayetteville Tech,fayettevilletechnicalcommunitycollege,njcaa-2,NJCAA,2019,10
Frederick,frederickcommunitycollege,njcaa-2,NJCAA,2019,20
Garrett,garrettcollege,njcaa-2,NJCAA,2019,20
GateWay (AZ),gatewaycommunitycollegeaz,njcaa-2,NJCAA,2019,1
Glen Oaks,glenoakscommunitycollege,njcaa-2,NJCAA,2019,12
Glendale,glendalecommunitycollege,njcaa-2,NJCAA,2019,1
Grand Rapids,grandrapidscommunitycollege,njcaa-2,NJCAA,2019,12
Guilford Tech,guilfordtechnicalcommunitycollege,njcaa-2,NJCAA,2019,10
Heartland,heartlandcommunitycollege,njcaa-2,NJCAA,2019,24
Henry Ford,henryfordcollege,njcaa-2,NJCAA,2019,12
Hesston,hesstoncollege,njcaa-2,NJCAA,2019,6
Highland (IL),highlandcommunitycollegeillinois,njcaa-2,NJCAA,2019,4
Hinds,hindscommunitycollege,njcaa-2,NJCAA,2019,23
Holmes,holmescommunitycollege,njcaa-2,NJCAA,2019,23
Illinois Central,illinoiscentralcollege,njcaa-2,NJCAA,2019,24
Iowa Central,iowacentralcommunitycollege,njcaa-2,NJCAA,2019,11
Iowa Lakes,iowalakescommunitycollege,njcaa-2,NJCAA,2019,11
Itawamba,itawambacommunitycollege,njcaa-2,NJCAA,2019,23
Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,njcaa-2,NJCAA,2019,12
Jackson,jacksoncollege,njcaa-2,NJCAA,2019,12
John Wood,johnwoodcommunitycollege,njcaa-2,NJCAA,2019,24
Jones,jonescollege,njcaa-2,NJCAA,2019,23
Kalamazoo Valley,kalamazoovalleycommunitycollege,njcaa-2,NJCAA,2019,12
Kankakee,kankakeecommunitycollege,njcaa-2,NJCAA,2019,4
Kellogg,kelloggcommunitycollege,njcaa-2,NJCAA,2019,12
Kirkwood,kirkwoodcommunitycollege,njcaa-2,NJCAA,2019,11
LSU Eunice,louisianastateuniversityeunice,njcaa-2,NJCAA,2019,23
Lackawanna,lackawannacollege,njcaa-2,NJCAA,2019,19
Lake County,collegeoflakecounty,njcaa-2,NJCAA,2019,4
Lake Michigan,lakemichigancollege,njcaa-2,NJCAA,2019,12
Lake Region State,lakeregionstatecollegend,njcaa-2,NJCAA,2019,13
Lakeland,lakelandcommunitycollege,njcaa-2,NJCAA,2019,12
Lansing,lansingcommunitycollege,njcaa-2,NJCAA,2019,12
Lehigh Carbon,lehighcarboncommunitycollege,njcaa-2,NJCAA,2019,19
Lenoir,lenoircommunitycollege,njcaa-2,NJCAA,2019,10
Lewis & Clark,lewisclarkcommunitycollege,njcaa-2,NJCAA,2019,24
Lincoln Land,lincolnlandcommunitycollege,njcaa-2,NJCAA,2019,24
Macomb,macombcommunitycollege,njcaa-2,NJCAA,2019,12
Madison,madisoncollege,njcaa-2,NJCAA,2019,4
Marian-Ancilla,ancillacollege,njcaa-2,NJCAA,2019,12
McHenry County,mchenrycountycollege,njcaa-2,NJCAA,2019,4
Mercer County,mercercountycommunitycollege,njcaa-2,NJCAA,2019,19
Mercyhurst North East,mercyhurstnortheast,njcaa-2,NJCAA,2019,NA
Meridian,meridiancommunitycollege,njcaa-2,NJCAA,2019,23
Mesa,mesacommunitycollege,njcaa-2,NJCAA,2019,1
Mid Michigan,midmichigancollege,njcaa-2,NJCAA,2019,12
Miles,milescommunitycollege,njcaa-2,NJCAA,2019,13
Mississippi Delta,mississippideltacommunitycollege,njcaa-2,NJCAA,2019,23
Mississippi Gulf Coast,mississippigulfcoastcommunitycollege,njcaa-2,NJCAA,2019,23
Monroe CC,monroecommunitycollege,njcaa-2,NJCAA,2019,3
Montgomery,montgomerycollegemd,njcaa-2,NJCAA,2019,20
Moraine Valley,morainevalleycommunitycollege,njcaa-2,NJCAA,2019,4
Morris,countycollegeofmorris,njcaa-2,NJCAA,2019,19
Morton,mortoncollege,njcaa-2,NJCAA,2019,4
Mott,mottcommunitycollege,njcaa-2,NJCAA,2019,12
Murray State,murraystatecollege,njcaa-2,NJCAA,2019,2
Muskegon,muskegoncommunitycollege,njcaa-2,NJCAA,2019,12
North Iowa Area,northiowaareacommunitycollege,njcaa-2,NJCAA,2019,11
Northeast,northeastcommunitycollege,njcaa-2,NJCAA,2019,11
Northeast Mississippi,northeastmississippicommunitycollege,njcaa-2,NJCAA,2019,23
Northern Oklahoma Enid,northernoklahomacollegeenid,njcaa-2,NJCAA,2019,2
Northern Oklahoma Tonkawa,northernoklahomacollegetonkawa,njcaa-2,NJCAA,2019,2
Northwest Mississippi,northwestmississippicommunitycollege,njcaa-2,NJCAA,2019,23
Orange County,orangecountycommunitycollege,njcaa-2,NJCAA,2019,15
Paradise Valley,paradisevalleycommunitycollege,njcaa-2,NJCAA,2019,1
Parkland,parklandcollege,njcaa-2,NJCAA,2019,24
Pasco-Hernando State,pascohernandostatecollege,njcaa-2,NJCAA,2019,8
Patrick & Henry,patrickhenrycommunitycollege,njcaa-2,NJCAA,2019,10
Pearl River,pearlrivercommunitycollege,njcaa-2,NJCAA,2019,23
Phoenix,phoenixcollege,njcaa-2,NJCAA,2019,1
Pitt,pittcommunitycollege,njcaa-2,NJCAA,2019,10
Prairie State,prairiestatecollege,njcaa-2,NJCAA,2019,4
Raritan Valley,raritanvalleycommunitycollege,njcaa-2,NJCAA,2019,19
Redlands,redlandscommunitycollege,njcaa-2,NJCAA,2019,2
Rockland,rocklandcommunitycollege,njcaa-2,NJCAA,2019,15
Rowan Burlington,rowancollegeatburlingtoncounty,njcaa-2,NJCAA,2019,NA
Sauk Valley,saukvalleycommunitycollege,njcaa-2,NJCAA,2019,4
Scottsdale,scottsdalecommunitycollege,njcaa-2,NJCAA,2019,1
Sinclair,sinclaircommunitycollege,njcaa-2,NJCAA,2019,NA
Southeastern,southeasterncommunitycollege,njcaa-2,NJCAA,2019,11
Southeastern-Whiteville,southeasterncommunitycollegewhitevill,njcaa-2,NJCAA,2019,10
Southern Maryland,collegeofsouthernmaryland,njcaa-2,NJCAA,2019,20
Southwest Mississippi,southwestmississippicommunitycollege,njcaa-2,NJCAA,2019,23
Spoon River,spoonrivercollege,njcaa-2,NJCAA,2019,24
St. Clair County,stclaircountycommunitycollege,njcaa-2,NJCAA,2019,12
Sullivan County,sullivancountycommunitycollege,njcaa-2,NJCAA,2019,15
Sussex County,sussexcountycommunitycollege,njcaa-2,NJCAA,2019,19
UConn Avery Point,universityofconnecticutataverypoint,njcaa-2,NJCAA,2019,21
Ulster County,ulstercountycommunitycollege,njcaa-2,NJCAA,2019,15
Vincennes,vincennesuniversity,njcaa-2,NJCAA,2019,24
Wake Tech,waketechnicalcommunitycollege,njcaa-2,NJCAA,2019,10
Westchester,westchestercommunitycollege,njcaa-2,NJCAA,2019,15
Western Oklahoma State,westernoklahomastatecollege,njcaa-2,NJCAA,2019,2
Williston State,willistonstatecollege,njcaa-2,NJCAA,2019,13
ASA Miami,asacollegemiami,njcaa-2,NJCAA,2020,NA
Allegany Maryland,alleganycollegeofmaryland,njcaa-2,NJCAA,2020,20
Anne Arundel,annearundelcommunitycollege,njcaa-2,NJCAA,2020,20
Bay College,baycollege,njcaa-2,NJCAA,2020,NA
Bismarck State,bismarckstatecollege,njcaa-2,NJCAA,2020,13
Black Hawk-Moline,blackhawkcollegemoline,njcaa-2,NJCAA,2020,4
Brunswick,brunswickcommunitycollege,njcaa-2,NJCAA,2020,10
Bryant & Stratton College (WI),bryantstrattoncollegewi,njcaa-2,NJCAA,2020,4
Bryant & Stratton (VA),bryantstrattoncollegeva,njcaa-2,NJCAA,2020,10
CCBC Catonsville,ccbccatonsville,njcaa-2,NJCAA,2020,20
CCBC Dundalk,ccbcdundalk,njcaa-2,NJCAA,2020,20
CCBC Essex,ccbcessex,njcaa-2,NJCAA,2020,20
Camp,pauldcampcommunitycollege,njcaa-2,NJCAA,2020,NA
Carl Albert State,carlalbertstatecollege,njcaa-2,NJCAA,2020,2
Carl Sandburg,carlsandburgcollege,njcaa-2,NJCAA,2020,4
Catawba Valley,catawbavalleycommunitycollege,njcaa-2,NJCAA,2020,10
Cecil,cecilcollege,njcaa-2,NJCAA,2020,20
Chandler-Gilbert,chandlergilbertcommunitycollege,njcaa-2,NJCAA,2020,1
Chesapeake,chesapeakecollege,njcaa-2,NJCAA,2020,20
Clark State,clarkstatecommunitycollege,njcaa-2,NJCAA,2020,12
Coahoma,coahomacommunitycollege,njcaa-2,NJCAA,2020,23
Copiah-Lincoln,copiahlincolncommunitycollege,njcaa-2,NJCAA,2020,23
Cuyahoga,cuyahogacommunitycollege,njcaa-2,NJCAA,2020,12
Dakota,dakotacollegeatbottineau,njcaa-2,NJCAA,2020,13
Dakota County Tech,dakotacountytechnicalcollege,njcaa-2,NJCAA,2020,13
Danville Area,danvilleareacommunitycollege,njcaa-2,NJCAA,2020,24
Dawson,dawsoncommunitycollege,njcaa-2,NJCAA,2020,13
Delaware Tech,delawaretechnicalcommunitycollege,njcaa-2,NJCAA,2020,19
Des Moines Area,desmoinesareacommunitycollege,njcaa-2,NJCAA,2020,11
Dutchess,dutchesscommunitycollege,njcaa-2,NJCAA,2020,15
East Central (MS),eastcentralcommunitycollege,njcaa-2,NJCAA,2020,23
East Mississippi,eastmississippicommunitycollege,njcaa-2,NJCAA,2020,23
Edison State,edisoncommunitycollege,njcaa-2,NJCAA,2020,12
Ellsworth,ellsworthcommunitycollege,njcaa-2,NJCAA,2020,11
Fayetteville Tech,fayettevilletechnicalcommunitycollege,njcaa-2,NJCAA,2020,10
Frederick,frederickcommunitycollege,njcaa-2,NJCAA,2020,20
Garrett,garrettcollege,njcaa-2,NJCAA,2020,20
GateWay (AZ),gatewaycommunitycollegeaz,njcaa-2,NJCAA,2020,1
Glen Oaks,glenoakscommunitycollege,njcaa-2,NJCAA,2020,12
Glendale,glendalecommunitycollege,njcaa-2,NJCAA,2020,1
Gogebic,gogebiccommunitycollege,njcaa-2,NJCAA,2020,NA
Grand Rapids,grandrapidscommunitycollege,njcaa-2,NJCAA,2020,12
Guilford Tech,guilfordtechnicalcommunitycollege,njcaa-2,NJCAA,2020,10
Heartland,heartlandcommunitycollege,njcaa-2,NJCAA,2020,24
Henry Ford,henryfordcollege,njcaa-2,NJCAA,2020,12
Hesston,hesstoncollege,njcaa-2,NJCAA,2020,6
Highland (IL),highlandcommunitycollegeillinois,njcaa-2,NJCAA,2020,4
Hinds,hindscommunitycollege,njcaa-2,NJCAA,2020,23
Holmes,holmescommunitycollege,njcaa-2,NJCAA,2020,23
Illinois Central,illinoiscentralcollege,njcaa-2,NJCAA,2020,24
Iowa Central,iowacentralcommunitycollege,njcaa-2,NJCAA,2020,11
Iowa Lakes,iowalakescommunitycollege,njcaa-2,NJCAA,2020,11
Itawamba,itawambacommunitycollege,njcaa-2,NJCAA,2020,23
Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,njcaa-2,NJCAA,2020,12
Jackson,jacksoncollege,njcaa-2,NJCAA,2020,12
John Wood,johnwoodcommunitycollege,njcaa-2,NJCAA,2020,24
Jones,jonescollege,njcaa-2,NJCAA,2020,23
Kalamazoo Valley,kalamazoovalleycommunitycollege,njcaa-2,NJCAA,2020,12
Kankakee,kankakeecommunitycollege,njcaa-2,NJCAA,2020,4
Kellogg,kelloggcommunitycollege,njcaa-2,NJCAA,2020,12
Kirkwood,kirkwoodcommunitycollege,njcaa-2,NJCAA,2020,11
LSU Eunice,louisianastateuniversityeunice,njcaa-2,NJCAA,2020,23
Lackawanna,lackawannacollege,njcaa-2,NJCAA,2020,19
Lake County,collegeoflakecounty,njcaa-2,NJCAA,2020,4
Lake Michigan,lakemichigancollege,njcaa-2,NJCAA,2020,12
Lake Region State,lakeregionstatecollegend,njcaa-2,NJCAA,2020,13
Lakeland,lakelandcommunitycollege,njcaa-2,NJCAA,2020,12
Lansing,lansingcommunitycollege,njcaa-2,NJCAA,2020,12
Lehigh Carbon,lehighcarboncommunitycollege,njcaa-2,NJCAA,2020,19
Lenoir,lenoircommunitycollege,njcaa-2,NJCAA,2020,10
Lewis & Clark,lewisclarkcommunitycollege,njcaa-2,NJCAA,2020,24
Lincoln Land,lincolnlandcommunitycollege,njcaa-2,NJCAA,2020,24
Macomb,macombcommunitycollege,njcaa-2,NJCAA,2020,12
Madison,madisoncollege,njcaa-2,NJCAA,2020,4
Marian-Ancilla,ancillacollege,njcaa-2,NJCAA,2020,12
McHenry County,mchenrycountycollege,njcaa-2,NJCAA,2020,4
Mercer County,mercercountycommunitycollege,njcaa-2,NJCAA,2020,19
Mercyhurst North East,mercyhurstnortheast,njcaa-2,NJCAA,2020,NA
Meridian,meridiancommunitycollege,njcaa-2,NJCAA,2020,23
Mesa,mesacommunitycollege,njcaa-2,NJCAA,2020,1
Mid Michigan,midmichigancollege,njcaa-2,NJCAA,2020,12
Miles,milescommunitycollege,njcaa-2,NJCAA,2020,13
Mississippi Delta,mississippideltacommunitycollege,njcaa-2,NJCAA,2020,23
Mississippi Gulf Coast,mississippigulfcoastcommunitycollege,njcaa-2,NJCAA,2020,23
Monroe CC,monroecommunitycollege,njcaa-2,NJCAA,2020,3
Montgomery,montgomerycollegemd,njcaa-2,NJCAA,2020,20
Moraine Valley,morainevalleycommunitycollege,njcaa-2,NJCAA,2020,4
Morris,countycollegeofmorris,njcaa-2,NJCAA,2020,19
Morton,mortoncollege,njcaa-2,NJCAA,2020,4
Mott,mottcommunitycollege,njcaa-2,NJCAA,2020,12
Murray State,murraystatecollege,njcaa-2,NJCAA,2020,2
Muskegon,muskegoncommunitycollege,njcaa-2,NJCAA,2020,12
National Park,nationalparkcollege,njcaa-2,NJCAA,2020,2
North Central Missouri,northcentralmissouricollege,njcaa-2,NJCAA,2020,16
North Iowa Area,northiowaareacommunitycollege,njcaa-2,NJCAA,2020,11
Northeast,northeastcommunitycollege,njcaa-2,NJCAA,2020,11
Northeast Mississippi,northeastmississippicommunitycollege,njcaa-2,NJCAA,2020,23
Northern Oklahoma Enid,northernoklahomacollegeenid,njcaa-2,NJCAA,2020,2
Northern Oklahoma Tonkawa,northernoklahomacollegetonkawa,njcaa-2,NJCAA,2020,2
Northwest Mississippi,northwestmississippicommunitycollege,njcaa-2,NJCAA,2020,23
Orange County,orangecountycommunitycollege,njcaa-2,NJCAA,2020,15
Paradise Valley,paradisevalleycommunitycollege,njcaa-2,NJCAA,2020,1
Parkland,parklandcollege,njcaa-2,NJCAA,2020,24
Pasco-Hernando State,pascohernandostatecollege,njcaa-2,NJCAA,2020,8
Patrick & Henry,patrickhenrycommunitycollege,njcaa-2,NJCAA,2020,10
Pearl River,pearlrivercommunitycollege,njcaa-2,NJCAA,2020,23
Phoenix,phoenixcollege,njcaa-2,NJCAA,2020,1
Pitt,pittcommunitycollege,njcaa-2,NJCAA,2020,10
Prairie State,prairiestatecollege,njcaa-2,NJCAA,2020,4
Raritan Valley,raritanvalleycommunitycollege,njcaa-2,NJCAA,2020,19
Redlands,redlandscommunitycollege,njcaa-2,NJCAA,2020,2
Rockland,rocklandcommunitycollege,njcaa-2,NJCAA,2020,15
Rowan Burlington,rowancollegeatburlingtoncounty,njcaa-2,NJCAA,2020,NA
Sauk Valley,saukvalleycommunitycollege,njcaa-2,NJCAA,2020,4
Scottsdale,scottsdalecommunitycollege,njcaa-2,NJCAA,2020,1
Sinclair,sinclaircommunitycollege,njcaa-2,NJCAA,2020,NA
Southeastern,southeasterncommunitycollege,njcaa-2,NJCAA,2020,11
Southeastern-Whiteville,southeasterncommunitycollegewhitevill,njcaa-2,NJCAA,2020,10
Southern Maryland,collegeofsouthernmaryland,njcaa-2,NJCAA,2020,20
Southwest Mississippi,southwestmississippicommunitycollege,njcaa-2,NJCAA,2020,23
Southwest Virginia,southwestvirginia,njcaa-2,NJCAA,2020,10
Spoon River,spoonrivercollege,njcaa-2,NJCAA,2020,24
St. Clair County,stclaircountycommunitycollege,njcaa-2,NJCAA,2020,12
Sullivan County,sullivancountycommunitycollege,njcaa-2,NJCAA,2020,15
Sussex County,sussexcountycommunitycollege,njcaa-2,NJCAA,2020,19
UA Rich Mountain,uarichmountain,njcaa-2,NJCAA,2020,2
UConn Avery Point,universityofconnecticutataverypoint,njcaa-2,NJCAA,2020,21
Ulster County,ulstercountycommunitycollege,njcaa-2,NJCAA,2020,15
Vincennes,vincennesuniversity,njcaa-2,NJCAA,2020,24
Wake Tech,waketechnicalcommunitycollege,njcaa-2,NJCAA,2020,10
Westchester,westchestercommunitycollege,njcaa-2,NJCAA,2020,15
Western Oklahoma State,westernoklahomastatecollege,njcaa-2,NJCAA,2020,2
Williston State,willistonstatecollege,njcaa-2,NJCAA,2020,13
ASA Miami,asacollegemiami,njcaa-2,NJCAA,2021,NA
Allegany Maryland,alleganycollegeofmaryland,njcaa-2,NJCAA,2021,20
Anne Arundel,annearundelcommunitycollege,njcaa-2,NJCAA,2021,20
Bay College,baycollege,njcaa-2,NJCAA,2021,NA
Bismarck State,bismarckstatecollege,njcaa-2,NJCAA,2021,13
Black Hawk-Moline,blackhawkcollegemoline,njcaa-2,NJCAA,2021,4
Brunswick,brunswickcommunitycollege,njcaa-2,NJCAA,2021,10
Bryant & Stratton (Ohio),bryantstrattonohio,njcaa-2,NJCAA,2021,NA
Bryant & Stratton College (WI),bryantstrattoncollegewi,njcaa-2,NJCAA,2021,4
Bryant & Stratton (VA),bryantstrattoncollegeva,njcaa-2,NJCAA,2021,10
CCBC Catonsville,ccbccatonsville,njcaa-2,NJCAA,2021,20
CCBC Dundalk,ccbcdundalk,njcaa-2,NJCAA,2021,20
CCBC Essex,ccbcessex,njcaa-2,NJCAA,2021,20
Camp,campcommunitycollege,njcaa-2,NJCAA,2021,NA
Carl Albert State,carlalbertstatecollege,njcaa-2,NJCAA,2021,2
Carl Sandburg,carlsandburgcollege,njcaa-2,NJCAA,2021,4
Catawba Valley,catawbavalleycommunitycollege,njcaa-2,NJCAA,2021,10
Cecil,cecilcollege,njcaa-2,NJCAA,2021,20
Chandler-Gilbert,chandlergilbertcommunitycollege,njcaa-2,NJCAA,2021,1
Chesapeake,chesapeakecollege,njcaa-2,NJCAA,2021,20
Clark State,clarkstatecollege,njcaa-2,NJCAA,2021,12
Cleveland,clevelandcommunitycollege,njcaa-2,NJCAA,2021,10
Coahoma,coahomacommunitycollege,njcaa-2,NJCAA,2021,23
Copiah-Lincoln,copiahlincolncommunitycollege,njcaa-2,NJCAA,2021,23
Dakota,dakotacollegeatbottineau,njcaa-2,NJCAA,2021,13
Dakota County Tech,dakotacountytechnicalcollege,njcaa-2,NJCAA,2021,13
Danville Area,danvilleareacommunitycollege,njcaa-2,NJCAA,2021,24
Dawson,dawsoncommunitycollege,njcaa-2,NJCAA,2021,13
Delaware Tech,delawaretechnicalcommunitycollege,njcaa-2,NJCAA,2021,19
Des Moines Area,desmoinesareacommunitycollege,njcaa-2,NJCAA,2021,11
East Central (MS),eastcentralcommunitycollege,njcaa-2,NJCAA,2021,23
East Mississippi,eastmississippicommunitycollege,njcaa-2,NJCAA,2021,23
Ellsworth,ellsworthcommunitycollege,njcaa-2,NJCAA,2021,11
Fayetteville Tech,fayettevilletechnicalcommunitycollege,njcaa-2,NJCAA,2021,10
Frederick,frederickcommunitycollege,njcaa-2,NJCAA,2021,20
Garrett,garrettcollege,njcaa-2,NJCAA,2021,20
GateWay (AZ),gatewaycommunitycollegeaz,njcaa-2,NJCAA,2021,1
Glen Oaks,glenoakscommunitycollege,njcaa-2,NJCAA,2021,12
Glendale,glendalecommunitycollege,njcaa-2,NJCAA,2021,1
Gogebic,gogebiccommunitycollege,njcaa-2,NJCAA,2021,NA
Grand Rapids,grandrapidscommunitycollege,njcaa-2,NJCAA,2021,12
Guilford Tech,guilfordtechnicalcommunitycollege,njcaa-2,NJCAA,2021,10
Heartland,heartlandcommunitycollege,njcaa-2,NJCAA,2021,24
Henry Ford,henryfordcollege,njcaa-2,NJCAA,2021,12
Hesston,hesstoncollege,njcaa-2,NJCAA,2021,6
Highland (IL),highlandcommunitycollegeillinois,njcaa-2,NJCAA,2021,4
Hinds,hindscommunitycollege,njcaa-2,NJCAA,2021,23
Holmes,holmescommunitycollege,njcaa-2,NJCAA,2021,23
Illinois Central,illinoiscentralcollege,njcaa-2,NJCAA,2021,24
Iowa Central,iowacentralcommunitycollege,njcaa-2,NJCAA,2021,11
Iowa Lakes,iowalakescommunitycollege,njcaa-2,NJCAA,2021,11
Itawamba,itawambacommunitycollege,njcaa-2,NJCAA,2021,23
Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,njcaa-2,NJCAA,2021,12
Jackson,jacksoncollege,njcaa-2,NJCAA,2021,12
John Wood,johnwoodcommunitycollege,njcaa-2,NJCAA,2021,24
Jones,jonescollege,njcaa-2,NJCAA,2021,23
Kalamazoo Valley,kalamazoovalleycommunitycollege,njcaa-2,NJCAA,2021,12
Kankakee,kankakeecommunitycollege,njcaa-2,NJCAA,2021,4
Kellogg,kelloggcommunitycollege,njcaa-2,NJCAA,2021,12
Kirkwood,kirkwoodcommunitycollege,njcaa-2,NJCAA,2021,11
LSU Eunice,louisianastateuniversityeunice,njcaa-2,NJCAA,2021,23
